사업장명,전화번호,도로명주소,위도,경도,법정동
강남베드로병원,1544-7522,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",37.4855969,127.039565,서울특별시 강남구 도곡동
차의과학대학교 강남차병원,02-3468-3000,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",37.50680003,127.0346687,서울특별시 강남구 역삼동
연세대학교의과대학 강남세브란스병원,02-2019-3114,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",37.49280698,127.0463125,서울특별시 강남구 도곡동
삼성서울병원,02-3410-2114,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",37.48851613,127.0866825,서울특별시 강남구 일원동
강동경희대학교의대병원,02-440-7114,서울특별시 강동구 동남로 892 (상일동),37.5534764,127.1575218,서울특별시 강동구 상일동
성심의료재단강동성심병원,02-2224-2114,서울특별시 강동구 성안로 150 (길동),37.53598408,127.1352635,서울특별시 강동구 길동
한국보훈복지의료공단 중앙보훈병원,02-2225-1111,서울특별시 강동구 진황도로61길 53 (둔촌동),37.5282209,127.1467189,서울특별시 강동구 둔촌동
의료법인 성화의료재단  대한병원,02-903-3232,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",37.63547043,127.0226725,서울특별시 강북구 수유동
미즈메디병원,02-2007-1000,서울특별시 강서구 강서로 295 (내발산동),37.55225379,126.8360254,서울특별시 강서구 내발산동
이화여자대학교의과대학부속서울병원,1522-7000,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",37.55726115,126.8362659,서울특별시 강서구 마곡동
부민병원,1577-7582,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",37.55694089,126.8509495,서울특별시 강서구 등촌동
우리들병원,02-2660-7500,서울특별시 강서구 하늘길 70 (과해동),37.56199597,126.7963653,서울특별시 강서구 과해동
의료법인 서울효천의료재단 에이치플러스양지병원,02-1877-8875,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",37.48427507,126.9325392,서울특별시 관악구 신림동
건국대학교병원,1588-1533,서울특별시 광진구 능동로 120-1 (화양동),37.54084479,127.0721229,서울특별시 광진구 화양동
혜민병원,02-2049-9000,서울특별시 광진구 자양로 85 (자양동),37.53531566,127.0836013,서울특별시 광진구 자양동
구로성심병원,02-2067-1500,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",37.49964579,126.8663604,서울특별시 구로구 고척동
고려대학교의과대학부속구로병원,02-2626-1114,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",37.49211115,126.8847449,서울특별시 구로구 구로동
희명병원,02-804-0002,서울특별시 금천구 시흥대로 244 (시흥동),37.45567063,126.9005625,서울특별시 금천구 시흥동
한국원자력의학원원자력병원,02-970-2114,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",37.62881598,127.0826932,서울특별시 노원구 공릉동
인제대학교 상계백병원,02-950-1114,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",37.64858127,127.0631162,서울특별시 노원구 상계동
노원을지대학교병원,02-970-8000,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",37.63644293,127.0700028,서울특별시 노원구 하계동
의료법인 한전의료재단 한일병원,02-901-3114,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",37.6461157,127.0290242,서울특별시 도봉구 쌍문동
경희대학교병원,02-958-8114,서울특별시 동대문구 경희대로 23 (회기동),37.59387655,127.0518322,서울특별시 동대문구 회기동
삼육서울병원,02-2244-0191,서울특별시 동대문구 망우로 82 (휘경동),37.587992,127.0653288,서울특별시 동대문구 휘경동
서울특별시 동부병원,02-920-9307,서울특별시 동대문구 무학로 124 (용두동),37.57539886,127.0314026,서울특별시 동대문구 용두동
서울성심병원,02-966-1616,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",37.58419129,127.0498381,서울특별시 동대문구 청량리동
서울특별시보라매병원,02-870-2114,서울특별시 동작구 보라매로5길 20 (신대방동),37.4937184,126.9240488,서울특별시 동작구 신대방동
중앙대학교병원,1800-1114,서울특별시 동작구 흑석로 102 (흑석동),37.50707428,126.9607938,서울특별시 동작구 흑석동
연세대학교의과대학세브란스병원,02-2228-0114,서울특별시 서대문구 연세로 50-1 (신촌동),37.56211711,126.9408277,서울특별시 서대문구 신촌동
의료법인 동신의료재단 동신병원,02-396-9161,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",37.58110428,126.9365831,서울특별시 서대문구 홍은동
학교법인가톨릭학원가톨릭대학교서울성모병원,215881511,서울특별시 서초구 반포대로 222 (반포동),37.5018008,127.0047273,서울특별시 서초구 반포동
한양대학교병원,02-2290-8114,서울특별시 성동구 왕십리로 222-1 (사근동),37.55994453,127.0448828,서울특별시 성동구 사근동
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),1577-0083,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",37.58715608,127.0264709,서울특별시 성북구 안암동5가
경찰병원,02-3400-1114,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",37.49641321,127.1234879,서울특별시 송파구 가락동
재단법인아산사회복지재단 서울아산병원,02-3010-3114,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",37.52656397,127.1082383,서울특별시 송파구 풍납동
홍익병원,02-2693-5555,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",37.52844147,126.863664,서울특별시 양천구 신정동
서울특별시서남병원,1566-6688,서울특별시 양천구 신정이펜1로 20 (신정동),37.51201936,126.8331299,서울특별시 양천구 신정동
이화여자대학교의과대학부속목동병원,02-2650-5114,서울특별시 양천구 안양천로 1071 (목동),37.53654283,126.886216,서울특별시 양천구 목동
가톨릭대학교 여의도성모병원,1661-7575,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",37.51827234,126.9367313,서울특별시 영등포구 여의도동
명지성모병원,02-1899-1475,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",37.49385071,126.8992545,서울특별시 영등포구 대림동
한림대학교 한강성심병원,02-2639-5114,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",37.52346675,126.91033,서울특별시 영등포구 영등포동7가
대림성모병원,02-829-9000,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",37.49068925,126.9071695,서울특별시 영등포구 대림동
한림대학교 강남성심병원,02-829-5114,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",37.49324929,126.9086725,서울특별시 영등포구 대림동
성애의료재단 성애병원,02-840-7114,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",37.51205045,126.9223673,서울특별시 영등포구 신길동
씨엠병원,02-2678-0001,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",37.51884833,126.9036798,서울특별시 영등포구 영등포동4가
순천향대학교 부속 서울병원,02-709-9114,서울특별시 용산구 대사관로 59 (한남동),37.53384172,127.004418,서울특별시 용산구 한남동
가톨릭대학교 은평성모병원,02-1811-7755,서울특별시 은평구 통일로 1021 (진관동),37.63360841,126.9161505,서울특별시 은평구 진관동
의료법인 청구성심병원,02-350-3300,서울특별시 은평구 통일로 873 (갈현동),37.62079154,126.919554,서울특별시 은평구 갈현동
서울대학교병원,1588-5700,서울특별시 종로구 대학로 101 (연건동),37.57966609,126.9989631,서울특별시 종로구 연건동
강북삼성병원,02-2001-2001,서울특별시 종로구 새문안로 29 (평동),37.56849763,126.9679381,서울특별시 종로구 평동
서울적십자병원,02-2002-8000,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",37.56715536,126.9669986,서울특별시 종로구 평동
세란병원,02-737-0181,서울특별시 종로구 통일로 256 (무악동),37.57534017,126.9577072,서울특별시 종로구 무악동
인제대학교 서울백병원,02-2270-0114,서울특별시 중구 마른내로 9 (저동2가),37.56507317,126.9888453,서울특별시 중구 저동2가
국립중앙의료원,222607114,서울특별시 중구 을지로 245 (을지로6가),37.56733956,127.0057954,서울특별시 중구 을지로6가
의료법인 풍산의료재단동부제일병원,02-437-5011,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",37.60067565,127.1090292,서울특별시 중랑구 망우동
녹색병원,02-490-2000,서울특별시 중랑구 사가정로49길 53 (면목동),37.58362084,127.0860555,서울특별시 중랑구 면목동
서울특별시서울의료원,02-2276-7000,서울특별시 중랑구 신내로 156 (신내동),37.61286932,127.0980911,서울특별시 중랑구 신내동